Rk,Winner,WinnerPoints,Loser,LoserPoints
520,Buffalo,29,Miami (OH),24
521,Georgia Southern,37,Texas State,13
522,North Carolina,26,(23) Pittsburgh,19
523,Oregon,61,Arizona State,55
524,(5) Texas Christian,40,West Virginia,10
525,Western Michigan,58,Eastern Michigan,28
526,Connecticut,31,East Carolina,13
527,Louisiana Tech,42,Rice,17
528,Louisville,20,Wake Forest,19
529,Utah State,58,Wyoming,27
530,Air Force,58,Hawaii,7
531,Appalachian State,44,Troy,41
532,Arkansas,63,Tennessee-Martin,28
533,Arkansas State,48,Georgia State,34
534,Ball State,20,Massachusetts,10
535,Boise State,55,Nevada-Las Vegas,27
536,Central Michigan,14,Akron,6
537,Cincinnati,52,Central Florida,7
538,(3) Clemson,56,North Carolina State,41
539,(11) Florida,27,Georgia,3
540,Florida Atlantic,31,Florida International,17
541,(17) Florida State,45,Syracuse,21
542,(18) Houston,34,Vanderbilt,0
543,(10) Iowa,31,Maryland,15
544,Iowa State,24,Texas,0
545,Louisiana-Lafayette,30,Louisiana-Monroe,24
546,Marshall,34,Charlotte,10
547,(16) Memphis,41,Tulane,13
548,Miami (FL),30,(22) Duke,27
549,(15) Michigan,29,Minnesota,26
550,(19) Mississippi,27,Auburn,19
551,Navy,29,South Florida,17
552,New Mexico State,55,Idaho,48
553,North Texas,30,Texas-San Antonio,23
554,(9) Notre Dame,24,(21) Temple,20
555,(14) Oklahoma,62,Kansas,7
556,(12) Oklahoma State,70,Texas Tech,53
557,Penn State,39,Illinois,0
558,Purdue,55,Nebraska,45
559,San Diego State,41,Colorado State,17
560,Southern California,27,California,21
561,Southern Mississippi,34,Texas-El Paso,13
562,(8) Stanford,30,Washington State,28
563,Tennessee,52,Kentucky,21
564,Texas A&M,35,South Carolina,28
565,Tulsa,40,Southern Methodist,31
566,(24) UCLA,35,Colorado,31
567,(13) Utah,27,Oregon State,12
568,Virginia,27,Georgia Tech,21
569,Virginia Tech,26,Boston College,10
570,Washington,49,Arizona,3
571,Western Kentucky,55,Old Dominion,30
572,Wisconsin,48,Rutgers,10
573,Northern Illinois,32,(20) Toledo,27
574,Bowling Green State,62,Ohio,24
575,Arkansas State,40,Appalachian State,27
576,(2) Baylor,31,Kansas State,24
577,Buffalo,18,Kent State,17
578,(24) Mississippi State,31,Missouri,13
579,Nevada,30,Fresno State,16
580,Western Michigan,54,Ball State,7
581,Brigham Young,17,San Jose State,16
582,(23) Temple,60,Southern Methodist,40
583,Texas-El Paso,24,Rice,21
584,Air Force,20,Army,3
585,Akron,17,Massachusetts,13
586,(7) Alabama,30,(4) Louisiana State,16
587,Arkansas,53,(19) Mississippi,52
588,Auburn,26,(25) Texas A&M,10
589,(3) Clemson,23,(17) Florida State,13
590,Colorado State,26,Wyoming,7
591,Connecticut,7,Tulane,3
592,(11) Florida,9,Vanderbilt,7
593,Florida International,48,Charlotte,31
594,Georgia,27,Kentucky,3
595,(18) Houston,33,Cincinnati,30
596,Illinois,48,Purdue,14
597,(10) Iowa,35,Indiana,27
598,Louisiana Tech,56,North Texas,13
599,Louisiana-Lafayette,23,Georgia State,21
600,Louisville,41,Syracuse,17
601,Miami (FL),27,Virginia,21
602,Miami (OH),28,Eastern Michigan,13
603,(16) Michigan,49,Rutgers,16
604,Middle Tennessee State,27,Marshall,24
605,Navy,45,(15) Memphis,20
606,Nebraska,39,(6) Michigan State,38
607,Nevada-Las Vegas,41,Hawaii,21
608,New Mexico,14,Utah State,13
609,New Mexico State,31,Texas State,21
610,(21) North Carolina,66,Duke,31
611,North Carolina State,24,Boston College,8
612,Northwestern,23,Penn State,21
613,(8) Notre Dame,42,Pittsburgh,30
614,(1) Ohio State,28,Minnesota,14
615,(14) Oklahoma,52,Iowa State,16
616,(12) Oklahoma State,49,(5) Texas Christian,29
617,Old Dominion,36,Texas-San Antonio,31
618,Oregon,44,California,28
619,South Alabama,52,Idaho,45
620,South Florida,22,East Carolina,17
621,Southern California,38,Arizona,30
622,(9) Stanford,42,Colorado,10
623,Tennessee,27,South Carolina,24
624,Texas,59,Kansas,20
625,Troy,51,Louisiana-Monroe,14
626,Tulsa,45,Central Florida,30
627,(22) UCLA,41,Oregon State,0
628,(13) Utah,34,Washington,23
629,Washington State,38,Arizona State,24
630,West Virginia,31,Texas Tech,26
631,Western Kentucky,35,Florida Atlantic,19
632,Wisconsin,31,Maryland,24
633,Ohio,27,Kent State,0
634,Toledo,28,Central Michigan,23
635,Bowling Green State,41,Western Michigan,27
636,Northern Illinois,41,Buffalo,30
637,South Alabama,32,Louisiana-Lafayette,25
638,Virginia Tech,23,Georgia Tech,21
639,Southern California,27,Colorado,24
640,Air Force,35,Utah State,28
641,Akron,37,Miami (OH),28
642,(3) Alabama,31,(20) Mississippi State,6
643,Appalachian State,47,Idaho,20
644,Arizona,37,(10) Utah,30
645,Arizona State,27,Washington,17
646,Arkansas,31,(9) Louisiana State,14
647,Arkansas State,59,Louisiana-Monroe,21
648,California,54,Oregon State,24
649,Cincinnati,49,Tulsa,38
650,(1) Clemson,37,Syracuse,27
651,Colorado State,49,Nevada-Las Vegas,35
652,(11) Florida,24,South Carolina,14
653,(19) Florida State,34,North Carolina State,17
654,Fresno State,42,Hawaii,14
655,Georgia,20,Auburn,13
656,Georgia Southern,45,Troy,10
657,Georgia State,41,Texas State,19
658,(16) Houston,35,(25) Memphis,34
659,(8) Iowa,40,Minnesota,35
660,Louisville,38,Virginia,31
661,Marshall,52,Florida International,0
662,Massachusetts,28,Eastern Michigan,17
663,(15) Michigan,48,Indiana,41
664,(14) Michigan State,24,Maryland,7
665,Middle Tennessee State,24,Florida Atlantic,17
666,Missouri,20,Brigham Young,16
667,(22) Navy,55,Southern Methodist,14
668,Nebraska,31,Rutgers,14
669,Nevada,37,San Jose State,34
670,New Mexico,31,Boise State,24
671,(17) North Carolina,59,Miami (FL),21
672,(24) Northwestern,21,Purdue,14
673,(6) Notre Dame,28,Wake Forest,7
674,(2) Ohio State,28,Illinois,3
675,(12) Oklahoma,44,(4) Baylor,34
676,(5) Oklahoma State,35,Iowa State,31
677,Old Dominion,31,Texas-El Paso,21
678,Oregon,38,(7) Stanford,36
679,Pittsburgh,31,Duke,13
680,San Diego State,38,Wyoming,3
681,South Florida,44,(21) Temple,23
682,Southern Mississippi,65,Rice,10
683,Tennessee,24,North Texas,0
684,Texas A&M,41,Western Carolina,17
685,(13) Texas Christian,23,Kansas,17
686,Texas Tech,59,Kansas State,44
687,Texas-San Antonio,30,Charlotte,27
688,Tulane,34,Army,31
689,Vanderbilt,21,Kentucky,17
690,Washington State,31,(18) UCLA,27
691,West Virginia,38,Texas,20
692,Ohio,48,Ball State,31
693,Toledo,44,Bowling Green State,28
694,Central Michigan,27,Kent State,14
695,Northern Illinois,27,Western Michigan,19
696,East Carolina,44,Central Florida,7
697,Texas State,16,Louisiana-Monroe,3
698,Air Force,37,Boise State,30
699,South Florida,65,Cincinnati,27
700,Akron,42,Buffalo,21
701,(3) Alabama,56,Charleston Southern,6
702,Arizona State,52,Arizona,37
703,Auburn,56,Idaho,34
704,(10) Baylor,45,(4) Oklahoma State,35
705,Brigham Young,52,Fresno State,10
706,Citadel,23,South Carolina,22
707,(1) Clemson,33,Wake Forest,13
708,Colorado State,28,New Mexico,21
709,Connecticut,20,(13) Houston,17
710,(8) Florida,20,Florida Atlantic,14
711,(16) Florida State,52,Chattanooga,13
712,Georgia,23,Georgia Southern,17
713,Georgia State,24,South Alabama,10
714,Indiana,47,Maryland,28
715,(6) Iowa,40,Purdue,20
716,Kansas State,38,Iowa State,35
717,Kentucky,58,Charlotte,10
718,Louisiana Tech,17,Texas-El Paso,15
719,Miami (FL),38,Georgia Tech,21
720,Miami (OH),20,Massachusetts,13
